VisualName,Type,Headline,Text,Tags,Year
79-DOVE-1,Dove,"החתימה על הסכם השלום עם מצרים, הבית הלבן, וושינגטון ",,"Peace_treaty
Dove
Egypt
Begin
Saadat
Carter",1979
79-DOVE-2,Dove,הסכם השלום בין ישראל למצרים חתום על ידי שלושת המנהיגים,,"Peace_treaty
Dove
Egypt
Begin
Saadat
Carter",1979
79-DOVE-3,Dove,יוצא השיר ׳נולדתי לשלום׳ וזוכה במקום השני בתחרות קדם האירוויזיון,,"Music
Dove
Pop_culture",1979
79-DOVE-4,Dove,סיקור הסכם השלום עם מצרים בעיתונות,,"Press
Dove
Pop_culture
Newspapers",1979
79-DOVE-5,Dove,ראש הממשלה מנחם בגין נושא דברים בפני תושבי חבל ימית בעקבות ההחלטה על הסכם השלום ופינוי סיני,,"Sinai
Dove
Egypt
Begin
Speech",1979
79-DOVE-6,Dove,ילדי חיפה מקבלים את הנשיא סאדאת בביקורו בעיר,,"Dove
Egypt
Saadat
Social",1979
79-DOVE-7,Dove,ראש הממשלה מנחם בגין בראיון לפרק מיוחד של ׳זהו זה׳ לרגל החתימה על הסכם השלום עם מצרים,,"Dove
Pop_culture
T.V
Begin",1979
79-DOVE-8,Dove,בול שיצא לכבוד הסכם השלום עם מצרים,,"Peace_treaty
Dove
Egypt
Social",1979
79-DOVE-9,Dove,מפוני הישוב נאות סיני שרים את ׳התקווה׳ עם חיילי צה״ל לאחר שהחליטו להפסיק את התבצרותם ולהתפנות מהשטח,,"Peace_treaty
Dove
Egypt
Sinai
Social
IDF",1979
79-DOVE-10,Dove,אילנית מבצעת את השיר ׳הנה בא השלום׳ בפרק מיוחד של ׳זהו זה׳ לרגל החתימה על הסכם השלום עם מצרים,,"Dove
Pop_culture
T.V
Music
Egypt",1979
79-HAWK-1,Hawk,מחאות של מתיישבי חבל ימית בעקבות ההחלטה על חתימת הסכם השלום עם מצרים ופינוי יישובי סיני,,"Hawk
Protest
Sinai
Egypt
Social",1979
79-HAWK-2,Hawk,חברת הכנסת גאולה כהן קורעת ניירות המייצגים את הסכמי קמפ דיוויד בזמן נאומו של נשיא ארצות הברית ג׳ימי קרטר בכנסת,,"Hawk
Protest
Egypt
Geula_cohen
Knesset",1979
79-HAWK-3,Hawk,אלפי ישראלים נענים לקריאותיהם של מתיישבי ימית ומגיעים לחבל ימית בכדי להפגין את תמיכתם במאבק נגד פינוי היישובים,,"Hawk
Protest
Egypt
Social
Sinai",1979
79-HAWK-4,Hawk,מתיישבי חבל ימית מפגינים מול הכנסת נגד פינוי הישובים,,"Hawk
Jerusalem_location
Protest
Sinai 
Egypt",1979
79-HAWK-5,Hawk,חברי תנועת גוש אמונים מקימים מאחז סמוך לאלקנה,,"Hawk
Ayosh
Gush_Emunim",1979
79-HAWK-6,Hawk,דבריה של תושבת ימית יוכי שדה לקראת פינוי השטח החקלאי גן הירק,,"Hawk
Sinai 
Egypt",1979
79-HAWK-7,Hawk,נסיונות הפינוי של תושבי נאות סיני משטח גן הירק,,"Hawk
Violence 
Protest
Sinai 
Egypt
IDF",1979
79-HAWK-8,Hawk,תושב סיני מאשים את הממשלה באלימות המתיישבים בעת הפינוי מגן הירק,,"Hawk
Violence 
Sinai 
Egypt",1979
79-HAWK-9,Hawk,שלטים וסטיקרים ביישוב אופירה,,"Hawk
Protest
Sinai 
Egypt",1979
79-HAWK-10,Hawk,תושבי אופירה מוחים נגד פינוי הישוב בזמן ביקור של הנשיא סאדאת,,"Hawk
Protest
Sinai 
Egypt
Saadat ",1979
